Pokemon Name,Johto Morning Wild,Johto Day Wild,Johto Night Wild,Kanto Morning Wild,Kanto Day Wild,Kanto Night Wild,Old Rod Fish Groups,Good Rod Fish Groups,Super Rod Fish Groups,Gift Locations,NPC Trade Locations,Headbutt Tree Locations,Rock Smash Locations,Static Locations,Evolves From,Can be Hatched from an Egg
BULBASAUR,,,,Route 26,,,,,,,,,,,,Yes
IVYSAUR,,,,,,,,,,,,,,,BULBASAUR,No
VENUSAUR,Silver Cave Outside,,,,,,,,,,,,,,IVYSAUR,No
CHARMANDER,,,,,Route 26,,,,,,,,,,,Yes
CHARMELEON,,,,,,,,,,,,,,,CHARMANDER,No
CHARIZARD,,Silver Cave Outside,,,,,,,,,,,,,CHARMELEON,No
SQUIRTLE,,,,,,Route 26,,,,,,,,,,Yes
WARTORTLE,,,,,,,,,,,,,,,SQUIRTLE,No
BLASTOISE,,,Silver Cave Outside,,,,,,,,,,,,WARTORTLE,No
CATERPIE,"Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31","Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31",Bug Catching Contest,"Route 2, Route 24, Route 25","Route 2, Route 24, Route 25",,,,,,,Ilex Forest,,,,Yes
METAPOD,"Bug Catching Contest, Ilex Forest",Bug Catching Contest,Bug Catching Contest,"Route 24, Route 25",Route 25,,,,,,,Ilex Forest,,,CATERPIE,No
BUTTERFREE,Bug Catching Contest,Bug Catching Contest,Bug Catching Contest,"Route 2, Route 24, Route 25","Route 2, Route 24, Route 25",,,,,,,Ilex Forest,,,METAPOD,No
WEEDLE,"Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31","Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31",Bug Catching Contest,,,,,,,,,Ilex Forest,,,,Yes
KAKUNA,Bug Catching Contest,"Bug Catching Contest, Ilex Forest",Bug Catching Contest,,,,,,,,,Ilex Forest,,,WEEDLE,No
BEEDRILL,Bug Catching Contest,Bug Catching Contest,Bug Catching Contest,,,,,,,,,Ilex Forest,,,KAKUNA,No
PIDGEY,"Route 29, Route 30, Route 32, Route 35, Route 36, Route 37","Route 29, Route 30, Route 31, Route 32, Route 35, Route 36, Route 37",,"Route 1, Route 2, Route 25, Route 5","Route 1, Route 2, Route 25, Route 5",,,,,,,,,,,Yes
PIDGEOTTO,"Route 37, Route 44","Route 37, Route 44",,"Route 11, Route 13, Route 14, Route 15, Route 25, Route 5, Route 8","Route 11, Route 13, Route 14, Route 15, Route 2, Route 25, Route 5, Route 8",,,,,,,,,,PIDGEY,No
PIDGEOT,,,,,,,,,,,,,,,PIDGEOTTO,No
RATTATA,"Burned Tower 1F, Route 29, Route 33, Route 36, Route 46, Sprout Tower 2F, Sprout Tower 3F, Tin Tower 2F, Tin Tower 3F, Tin Tower 4F, Tin Tower 5F, Tin Tower 6F, Tin Tower 7F, Tin Tower 8F, Tin Tower 9F","Burned Tower 1F, Route 29, Route 33, Route 36, Route 46, Sprout Tower 2F, Sprout Tower 3F, Tin Tower 2F, Tin Tower 3F, Tin Tower 4F, Tin Tower 5F, Tin Tower 6F, Tin Tower 7F, Tin Tower 8F, Tin Tower 9F","Route 29, Route 33, Route 36, Route 46, Sprout Tower 2F, Sprout Tower 3F, Tin Tower 2F, Tin Tower 3F, Tin Tower 4F, Tin Tower 5F, Tin Tower 6F, Tin Tower 7F, Tin Tower 8F, Tin Tower 9F","Route 1, Route 11, Route 21, Route 22, Route 3, Route 4, Route 6, Route 7, Route 9, Tohjo Falls","Route 1, Route 11, Route 21, Route 22, Route 3, Route 4, Route 6, Route 7, Route 9, Tohjo Falls","Route 1, Route 21, Route 22, Route 3, Route 4, Route 9, Tohjo Falls",,,,,,,,,,Yes
RATICATE,"Burned Tower 1F, Mount Mortar 2F Inside, Route 38, Route 39, Route 42, Route 43, Union Cave B2F","Burned Tower 1F, Mount Mortar 2F Inside, Route 38, Route 39, Route 42, Route 43, Union Cave B2F","Burned Tower 1F, Mount Mortar 2F Inside, Route 38, Route 39, Route 42, Route 43, Union Cave B2F","Route 10 North, Route 11, Route 21, Route 3, Route 4, Route 6, Route 7, Route 9, Tohjo Falls","Route 10 North, Route 11, Route 21, Route 3, Route 4, Route 6, Route 7, Route 9, Tohjo Falls","Route 1, Route 10 North, Route 11, Route 21, Route 3, Route 4, Route 6, Route 9, Tohjo Falls",,,,,,,,,RATTATA,No
SPEAROW,"Route 33, Route 46",Route 46,,"Route 10 North, Route 22, Route 3, Route 4, Route 7, Route 9","Route 10 North, Route 22, Route 3, Route 4, Route 7, Route 9",,,,,Route 35 Goldenrod Gate,,"Azalea Town, Route 33, Route 42, Route 44, Route 45, Route 46",,,,Yes
FEAROW,Route 42,Route 42,,"Route 10 North, Route 16, Route 17, Route 18, Route 22, Route 9","Route 10 North, Route 16, Route 17, Route 18, Route 22, Route 9",,,,,,,,,,SPEAROW,No
EKANS,"Route 32, Route 33, Route 42","Route 32, Route 33, Route 42",Route 33,"Route 3, Route 4","Route 3, Route 4",,,,,,,"Azalea Town, Route 26, Route 27, Route 32, Route 33, Route 42",,,,Yes
ARBOK,Route 42,Route 42,,"Route 26, Route 27, Route 28, Route 3, Route 4","Route 26, Route 27, Route 28, Route 3, Route 4","Route 26, Route 27",,,,,,,,,EKANS,No
PIKACHU,,,,Route 2,Route 2,,,,,"Celadon Game Corner Prize Room, New Bark Town",,,,,PICHU,No
RAICHU,,,,,,,,,,,,,,,PIKACHU,No
SANDSHREW,Union Cave 1F,Union Cave 1F,Union Cave 1F,"Mount Moon, Route 3, Route 4","Mount Moon, Route 3, Route 4",,,,,,,,,,,Yes
SANDSLASH,,,,Victory Road,Victory Road,Victory Road,,,,,,,,,SANDSHREW,No
NIDORAN_F,National Park,National Park,,,,,,,,,,,,,,Yes
NIDORINA,,,,"Route 13, Route 14, Route 15","Route 13, Route 14, Route 15",,,,,,,,,,,No
NIDOQUEEN,,,,,,,,,,,,,,,NIDORINA,No
NIDORAN_M,National Park,National Park,,,,,,,,,,,,,,Yes
NIDORINO,,,,"Route 13, Route 14, Route 15","Route 13, Route 14, Route 15",,,,,,,,,,,No
NIDOKING,,,,,,,,,,,,,,,NIDORINO,No
CLEFAIRY,,,,Mount Moon,Mount Moon,"Mount Moon, Route 3, Route 4",,,,,,,,,CLEFFA,No
CLEFABLE,,,,,,,,,,,,,,,CLEFAIRY,No
VULPIX,Route 37,,,,,,,,,,,,,,,Yes
NINETALES,,,,,,,,,,,,,,,VULPIX,No
JIGGLYPUFF,Route 34,Route 34,Route 34,"Route 5, Route 6, Route 7, Route 8","Route 5, Route 6, Route 7, Route 8","Route 5, Route 6, Route 7, Route 8",,,,,,,,,IGGLYBUFF,No
WIGGLYTUFF,,,,,,,,,,,,,,,JIGGLYPUFF,No
ZUBAT,"Burned Tower B1F, Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Ice Path 1F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar B1F, Slowpoke Well B1F, Slowpoke Well B2F, Union Cave 1F, Union Cave B1F","Burned Tower B1F, Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Ice Path 1F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar B1F, Slowpoke Well B1F, Slowpoke Well B2F, Union Cave 1F, Union Cave B1F","Burned Tower 1F, Burned Tower B1F, Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Ice Path 1F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar B1F, Route 30, Route 31, Route 32, Route 33, Route 42, Slowpoke Well B1F, Slowpoke Well B2F, Union Cave 1F, Union Cave B1F, Whirl Island B2F","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F, Tohjo Falls","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F, Tohjo Falls","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F, Route 10 North, Route 3, Route 4, Route 9, Tohjo Falls",,,,,,,,,,Yes
GOLBAT,"Dark Cave Blackthorn Entrance, Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Silver Cave Item Rooms, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3, Slowpoke Well B2F, Union Cave B2F, Whirl Island B1F, Whirl Island B2F, Whirl Island Cave, Whirl Island Lugia Chamber, Whirl Island Ne, Whirl Island Nw, Whirl Island Se, Whirl Island Sw","Dark Cave Blackthorn Entrance, Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Silver Cave Item Rooms, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3, Slowpoke Well B2F, Union Cave B2F, Whirl Island B1F, Whirl Island B2F, Whirl Island Cave, Whirl Island Lugia Chamber, Whirl Island Ne, Whirl Island Nw, Whirl Island Se, Whirl Island Sw","Dark Cave Blackthorn Entrance, Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 42, Route 45, Silver Cave Item Rooms, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3, Slowpoke Well B2F, Union Cave B2F, Whirl Island B1F, Whirl Island B2F, Whirl Island Cave, Whirl Island Lugia Chamber, Whirl Island Ne, Whirl Island Nw, Whirl Island Se, Whirl Island Sw","Tohjo Falls, Victory Road","Tohjo Falls, Victory Road","Rock Tunnel 1F, Rock Tunnel B1F, Route 28, Tohjo Falls, Victory Road",,,,,,,,,ZUBAT,No
ODDISH,Ilex Forest,Ilex Forest,Ilex Forest,,,"Route 24, Route 25",,,,,,,,,,Yes
GLOOM,,,,,,Route 24,,,,,,,,,ODDISH,No
VILEPLUME,,,,,,,,,,,,,,,GLOOM,No
PARAS,"Bug Catching Contest, Ilex Forest","Bug Catching Contest, Ilex Forest","Bug Catching Contest, Ilex Forest",Mount Moon,Mount Moon,Mount Moon,,,,,,,,,,Yes
PARASECT,"Silver Cave Item Rooms, Silver Cave Room 2","Silver Cave Item Rooms, Silver Cave Room 2","Silver Cave Item Rooms, Silver Cave Room 2",,,,,,,,,,,,PARAS,No
VENONAT,Bug Catching Contest,Bug Catching Contest,"Bug Catching Contest, Ilex Forest, National Park, Route 43",,,"Route 10 North, Route 13, Route 14, Route 15, Route 24, Route 25, Route 9",,,,,,"Lake Of Rage, Route 43",,,,Yes
VENOMOTH,,,Route 43,,,"Route 10 North, Route 13, Route 14, Route 15, Route 9",,,,,,,,,VENONAT,No
DIGLETT,Union Cave B2F,Union Cave B2F,Union Cave B2F,Digletts Cave,Digletts Cave,Digletts Cave,,,,,,,,,,Yes
DUGTRIO,,,,Digletts Cave,Digletts Cave,Digletts Cave,,,,,,,,,DIGLETT,No
MEOWTH,Route 38,Route 38,"Route 38, Route 39",,,"Route 11, Route 5, Route 6, Route 7, Route 8",,,,,,,,,,Yes
PERSIAN,,,,,,Route 7,,,,,,,,,MEOWTH,No
PSYDUCK,,,"Ilex Forest, National Park, Route 35",,,Route 6,,,,,,,,,,Yes
GOLDUCK,,,"Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3",,,,,,,,,,,,PSYDUCK,No
MANKEY,Route 34,Route 34,,,,,,,,,,,,,,Yes
PRIMEAPE,,,,,,,,,,,,,,,MANKEY,No
GROWLITHE,"Route 35, Route 36","Route 35, Route 36, Route 37",Route 35,Route 8,Route 8,,,,,,,,,,,Yes
ARCANINE,,,,,,,,,,,,,,,GROWLITHE,No
POLIWAG,,,"Route 30, Route 31",,,Route 22,"Pond, Remoraid","Pond, Pond (day), Remoraid, Remoraid (day)","Pond, Pond (day), Remoraid, Remoraid (day)",,,,,,,Yes
POLIWHIRL,,,Route 44,,,Route 28,,,,,,,,,POLIWAG,No
POLIWRATH,,,,,,,,,,,,,,,POLIWHIRL,No
ABRA,"Route 34, Route 35","Route 34, Route 35","Route 34, Route 35","Route 24, Route 5, Route 7, Route 8","Route 24, Route 5, Route 7, Route 8","Route 24, Route 5, Route 7, Route 8",,,,Goldenrod Game Corner,,,,,,Yes
KADABRA,,,,Route 8,Route 8,Route 8,,,,,,,,,ABRA,No
ALAKAZAM,,,,,,,,,,,,,,,KADABRA,No
MACHOP,"Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 33","Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 33",Route 33,Rock Tunnel 1F,Rock Tunnel 1F,,,,,,Trade for ABRA at Goldenrod Dept Store5F,,,,,Yes
MACHOKE,"Mount Mortar 2F Inside, Silver Cave Room 2","Mount Mortar 2F Inside, Silver Cave Room 2",,Rock Tunnel 1F,Rock Tunnel 1F,,,,,,,,,,MACHOP,No
MACHAMP,,,,,,,,,,,,,,,MACHOKE,No
BELLSPROUT,"Route 31, Route 32, Route 36","Route 31, Route 32, Route 36",Route 31,"Route 24, Route 25","Route 24, Route 25","Route 24, Route 25",,,,,,,,,,Yes
WEEPINBELL,Route 44,Route 44,Route 44,,,,,,,,,,,,BELLSPROUT,No
VICTREEBEL,,,,,,,,,,,,,,,WEEPINBELL,No
TENTACOOL,,,,,,,"Ocean, Qwilfish","Ocean, Qwilfish, Qwilfish (day)","Qwilfish, Qwilfish (day)",,,,,,,Yes
TENTACRUEL,,,,,,,,,Ocean,,,,,,TENTACOOL,No
GEODUDE,"Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 46, Union Cave 1F, Union Cave B1F","Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 46, Union Cave 1F, Union Cave B1F","Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance, Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 46, Union Cave 1F, Union Cave B1F","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F","Mount Moon, Rock Tunnel 1F, Rock Tunnel B1F",,,,,,,,Team Rocket Base B1F,,Yes
GRAVELER,"Dark Cave Blackthorn Entrance, Mount Mortar 2F Inside, Route 45, Silver Cave Room 1, Silver Cave Room 3","Dark Cave Blackthorn Entrance, Mount Mortar 2F Inside, Route 45, Silver Cave Room 1, Silver Cave Room 3","Dark Cave Blackthorn Entrance, Mount Mortar 2F Inside, Route 45, Silver Cave Room 1, Silver Cave Room 3",,,,,,,,,,,,GEODUDE,No
GOLEM,Silver Cave Outside,Silver Cave Outside,,Victory Road,Victory Road,Victory Road,,,,,,,,,GRAVELER,No
PONYTA,Route 39,Route 39,,"Route 22, Route 26, Route 27, Route 28","Route 22, Route 26, Route 27, Route 28","Route 26, Route 27",,,,,,,,,,Yes
RAPIDASH,Silver Cave Outside,Silver Cave Outside,,"Route 26, Route 27, Route 28","Route 26, Route 27, Route 28","Route 26, Route 27",,,,,,,,,PONYTA,No
SLOWPOKE,"Slowpoke Well B1F, Slowpoke Well B2F","Slowpoke Well B1F, Slowpoke Well B2F","Slowpoke Well B1F, Slowpoke Well B2F",Tohjo Falls,Tohjo Falls,Tohjo Falls,,,,,,,,,,Yes
SLOWBRO,,,,,,,,,,,,,,,SLOWPOKE,No
MAGNEMITE,"Route 38, Route 39","Route 38, Route 39","Route 38, Route 39","Route 11, Route 6","Route 11, Route 6","Route 11, Route 6",,,,,,,,,,Yes
MAGNETON,,,,,,,,,,,Trade for DUGTRIO at Power Plant,,,,MAGNEMITE,No
FARFETCH_D,Route 43,Route 43,,,,,,,,,,,,,,Yes
DODUO,"Route 38, Route 39","Route 38, Route 39",,"Route 22, Route 28","Route 22, Route 28",,,,,,,,,,,Yes
DODRIO,,,,"Route 26, Route 27, Route 28","Route 26, Route 27, Route 28","Route 26, Route 27",,,,,,,,,DODUO,No
